A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
forceLoadClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,651,660,651,660,forceLoadSystemClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,678,687,678,687,0.994236,
loadClass - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1062,1072,1062,1072,loadClass - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1072,1083,1072,1083,0.969377,
getJarManifest,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1173,1182,1173,1182,getCertificates,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,1193,1203,1193,1203,0.904851,
setClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,80,88,80,88,innerGetTypeClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,187,197,187,197,0.901789,
createComponent - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,266,273,266,273,makeTask,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\UnknownElement.java,469,479,469,479,0.906293,
addTaskDefinition,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,342,352,342,352,initTasks - for,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,752,760,752,760,0.908543,
initTasks,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,749,761,749,761,initTypes,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,809,819,809,819,0.952758,
diagnoseCreationFailure - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,978,990,978,990,printUnknownDefinition - if - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,1013,1021,1013,1021,0.927273,
diagnoseCreationFailure - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,978,990,978,990,printClassNotFound,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,1036,1047,1036,1047,0.925667,
diagnoseCreationFailure - else - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,978,990,978,990,printNotLoadDependentClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\ComponentHelper.java,1053,1066,1053,1066,0.942971,
