A name,A class name,A start line,A end line, A method start line , A method end line, B name,B class name,B start line,B end line, B method start line , B method end line,similarity
findNextResource,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,153,166,153,166,getURL,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\URLResource.java,144,162,144,162,0.601592,
findNextResource - while,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,155,164,155,164,setClassPath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,363,375,363,375,0.510678,
findNextResource - while,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,155,164,155,164,addPathElement,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,455,463,455,463,0.628782,
findNextResource - while,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,155,164,155,164,getResource - else,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,866,876,866,876,0.705721,
setClassPath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,363,375,363,375,addPathElement,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,455,463,455,463,0.519924,
setClassPath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,363,375,363,375,createClasspath,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\types\resources\AbstractClasspathResource.java,62,69,62,69,0.506473,
setClassPath - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,365,374,365,374,processSlowScan,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\DirectoryScanner.java,1127,1134,1127,1134,0.506260,
setThreadContextLoader,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,419,432,419,432,createLoader,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\DefBase.java,138,151,138,151,0.612117,
setThreadContextLoader,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,419,432,419,432,setupFTPDelegate,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\net\FTPTask.java,803,816,803,816,0.656060,
setThreadContextLoader - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,423,431,423,431,setClass,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntTypeDefinition.java,80,88,80,88,0.511037,
setThreadContextLoader - if,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\AntClassLoader.java,423,431,423,431,getClassLoaderForBuild,E:\apach_ant\20181106\ant\src\main\org\apache\tools\ant\taskdefs\optional\ejb\GenericDeploymentTool.java,858,873,858,873,0.514256,
